"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DN27B2EU","journalArticle","2021","Tooley, Aaron Seth; Kazyken, Dubek; Bodur, Cagri; Gonzalez, Ian E.; Fingar, Diane C.","The innate immune kinase TBK1 directly increases mTORC2 activity and downstream signaling to Akt","Journal of Biological Chemistry","","0021-9258, 1083-351X","10.1016/j.jbc.2021.100942","https://www.jbc.org/article/S0021-9258(21)00742-0/abstract","<h2>Abstract</h2><p>TBK1 responds to microbes to initiate cellular responses critical for host innate immune defense. We found previously that TBK1 phosphorylates mTOR (mechanistic target of rapamycin) on S2159 to increase mTOR complex 1 (mTORC1) signaling in response to the growth factor EGF and the viral dsRNA mimetic poly(I:C). mTORC1 and the less well studied mTORC2 respond to diverse cues to control cellular metabolism, proliferation, and survival. While TBK1 has been linked to Akt phosphorylation, a direct relationship between TBK1 and mTORC2, an Akt kinase, has not been described. By studying MEFs lacking TBK1, as well as MEFs, macrophages, and mice bearing an <i>Mtor S2159A</i> knock-in allele (<i>Mtor</i><sup>A/A</sup>) using <i>in vitro</i> kinase assays and cell-based approaches, we demonstrate here that TBK1 activates mTOR complex 2 (mTORC2) directly to increase Akt phosphorylation. We find that TBK1 and mTOR S2159 phosphorylation promote mTOR-dependent phosphorylation of Akt in response to several growth factors and poly(I:C). Mechanistically, TBK1 co-immunoprecipitates with mTORC2 and phosphorylates mTOR S2159 within mTORC2 in cells. Kinase assays demonstrate that TBK1 and mTOR S2159 phosphorylation increase mTORC2 intrinsic catalytic activity. Growth factors failed to activate TBK1 or increase mTOR S2159 phosphorylation in MEFs. Thus, basal TBK1 activity cooperates with growth factors in parallel to increase mTORC2 (and mTORC1) signaling. Collectively, these results reveal crosstalk between TBK1 and mTOR, key regulatory nodes within two major signaling networks. As TBK1 and mTOR contribute to tumorigenesis and metabolic disorders, these kinases may work together in a direct manner in a variety of physiological and pathological settings.</p>","2021-07-07","2021-07-13 04:33:02","2021-07-13 04:33:02","2021-07-13 04:33:02","","","0","0","","Journal of Biological Chemistry","","","","","","","","English","","","","","www.jbc.org","","Publisher: Elsevier PMID: 34245780","","/Users/jonahlibrach/Zotero/storage/XLIJMBCF/Tooley et al. - 2021 - The innate immune kinase TBK1 directly increases m.pdf; ; /Users/jonahlibrach/Zotero/storage/4DC8B9HT/fulltext.html","http://www.ncbi.nlm.nih.gov/pubmed/34245780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHKQ43Q8","journalArticle","2014","Van Schaeybroeck, Sandra; Kalimutho, Murugan; Dunne, Philip D.; Carson, Robbie; Allen, Wendy; Jithesh, Puthen V.; Redmond, Keara L.; Sasazuki, Takehiko; Shirasawa, Senji; Blayney, Jaine; Michieli, Paolo; Fenning, Cathy; Lenz, Heinz-Josef; Lawler, Mark; Longley, Daniel B.; Johnston, Patrick G.","ADAM17-Dependent c-MET-STAT3 Signaling Mediates Resistance to MEK Inhibitors in KRAS Mutant Colorectal Cancer","Cell Reports","","22111247","10.1016/j.celrep.2014.05.032","https://linkinghub.elsevier.com/retrieve/pii/S2211124714004264","There are currently no approved targeted therapies for advanced KRAS mutant (KRASMT) colorectal cancer (CRC). Using a unique systems biology approach, we identiﬁed JAK1/2-dependent activation of STAT3 as the key mediator of resistance to MEK inhibitors in KRASMT CRC in vitro and in vivo. Further analyses identiﬁed acute increases in c-MET activity following treatment with MEK inhibitors in KRASMT CRC models, which was demonstrated to promote JAK1/ 2-STAT3-mediated resistance. Furthermore, activation of c-MET following MEK inhibition was found to be due to inhibition of the ERK-dependent metalloprotease ADAM17, which normally inhibits c-MET signaling by promoting shedding of its endogenous antagonist, soluble ‘‘decoy’’ MET. Most importantly, pharmacological blockade of this resistance pathway with either c-MET or JAK1/2 inhibitors synergistically increased MEK-inhibitor-induced apoptosis and growth inhibition in vitro and in vivo in KRASMT models, providing clear rationales for the clinical assessment of these combinations in KRASMT CRC patients.","2014-06","2021-08-17 20:33:58","2021-09-07 20:52:26","2021-08-17 20:33:58","1940-1955","","6","7","","Cell Reports","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonahlibrach/Zotero/storage/ZWCQ48VT/Van Schaeybroeck et al. - 2014 - ADAM17-Dependent c-MET-STAT3 Signaling Mediates Re.pdf","","_company","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KH2ZDZ3K","journalArticle","2020","Esser-Nobis, Katharina; Hatfield, Lauren D.; Gale, Michael","Spatiotemporal dynamics of innate immune signaling via RIG-I–like receptors","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1921861117","http://www.pnas.org/content/117/27/15778","<p>RIG-I, MDA5, and LGP2 comprise the RIG-I–like receptors (RLRs). RIG-I and MDA5 are essential pathogen recognition receptors sensing viral infections while LGP2 has been described as both RLR cofactor and negative regulator. After sensing and binding to viral RNA, including double-stranded RNA (dsRNA), RIG-I and MDA5 undergo cytosol-to-membrane relocalization to bind and signal through the MAVS adaptor protein on intracellular membranes, thus directing downstream activation of IRF3 and innate immunity. Here, we report examination of the dynamic subcellular localization of all three RLRs within the intracellular response to dsRNA and RNA virus infection. Observations from high resolution biochemical fractionation and electron microscopy, coupled with analysis of protein interactions and IRF3 activation, show that, in resting cells, microsome but not mitochondrial fractions harbor the central components to initiate innate immune signaling. LGP2 interacts with MAVS in microsomes, blocking the RIG-I/MAVS interaction. Remarkably, in response to dsRNA treatment or RNA virus infection, LGP2 is rapidly released from MAVS and redistributed to mitochondria, temporally correlating with IRF3 activation. We reveal that IRF3 activation does not take place on mitochondria but instead occurs at endoplasmic reticulum (ER)-derived membranes. Our observations suggest ER-derived membranes as key RLR signaling platforms controlled through inhibitory actions of LGP2 binding to MAVS wherein LGP2 translocation to mitochondria releases MAVS inhibition to facilitate RLR-mediated signaling of innate immunity.</p>","2020-07-07","2021-08-17 20:43:23","2021-08-17 20:43:23","2021-08-17 20:43:23","15778-15788","","27","117","","PNAS","","","","","","","","en","© 2020 . https://www-pnas-org.proxy.lib.uwaterloo.ca/site/aboutpnas/licenses.xhtmlPublished under the PNAS license.","","","","www-pnas-org.proxy.lib.uwaterloo.ca","","Publisher: National Academy of Sciences Section: Biological Sciences PMID: 32571931","","/Users/jonahlibrach/Zotero/storage/IQQZSGTR/Esser-Nobis et al. - 2020 - Spatiotemporal dynamics of innate immune signaling.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32571931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCHLXTQN","journalArticle","2019","Río, Isabel Boned del; Young, Lucy C.; Sari, Sibel; Jones, Greg G.; Ringham-Terry, Benjamin; Hartig, Nicole; Rejnowicz, Ewa; Lei, Winnie; Bhamra, Amandeep; Surinova, Silvia; Rodriguez-Viciana, Pablo","SHOC2 complex-driven RAF dimerization selectively contributes to ERK pathway dynamics","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1902658116","http://www.pnas.org/content/116/27/13330","<p>Despite the crucial role of RAF kinases in cell signaling and disease, we still lack a complete understanding of their regulation. Heterodimerization of RAF kinases as well as dephosphorylation of a conserved “S259” inhibitory site are important steps for RAF activation but the precise mechanisms and dynamics remain unclear. A ternary complex comprised of SHOC2, MRAS, and PP1 (SHOC2 complex) functions as a RAF S259 holophosphatase and gain-of-function mutations in SHOC2, MRAS, and PP1 that promote complex formation are found in Noonan syndrome. Here we show that SHOC2 complex-mediated S259 RAF dephosphorylation is critically required for growth factor-induced RAF heterodimerization as well as for MEK dissociation from BRAF. We also uncover SHOC2-independent mechanisms of RAF and ERK pathway activation that rely on N-region phosphorylation of CRAF. In DLD-1 cells stimulated with EGF, SHOC2 function is essential for a rapid transient phase of ERK activation, but is not required for a slow, sustained phase that is instead driven by palmitoylated H/N-RAS proteins and CRAF. Whereas redundant SHOC2-dependent and -independent mechanisms of RAF and ERK activation make SHOC2 dispensable for proliferation in 2D, KRAS mutant cells preferentially rely on SHOC2 for ERK signaling under anchorage-independent conditions. Our study highlights a context-dependent contribution of SHOC2 to ERK pathway dynamics that is preferentially engaged by KRAS oncogenic signaling and provides a biochemical framework for selective ERK pathway inhibition by targeting the SHOC2 holophosphatase.</p>","2019-07-02","2021-08-17 20:54:19","2021-08-17 20:54:19","2021-08-17 20:54:19","13330-13339","","27","116","","PNAS","","","","","","","","en","Copyright © 2019 the Author(s). Published by PNAS.. https://creativecommons.org/licenses/by-nc-nd/4.0/This open access article is distributed under Creative Commons Attribution-NonCommercial-NoDerivatives License 4.0 (CC BY-NC-ND).","","","","www-pnas-org.proxy.lib.uwaterloo.ca","","ISBN: 9781902658117 Publisher: National Academy of Sciences Section: PNAS Plus PMID: 31213532","","/Users/jonahlibrach/Zotero/storage/CH4QIHPM/Río et al. - 2019 - SHOC2 complex-driven RAF dimerization selectively .pdf; ; /Users/jonahlibrach/Zotero/storage/NMTQQKRI/tab-figures-data.html","http://www.ncbi.nlm.nih.gov/pubmed/31213532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YK7LPFA","journalArticle","2015","Yao, Zhan; Torres, Neilawattie M.; Tao, Anthony; Gao, Yijun; Luo, Lusong; Li, Qi; de Stanchina, Elisa; Abdel-Wahab, Omar; Solit, David B.; Poulikakos, Poulikos I.; Rosen, Neal","BRAF Mutants Evade ERK-Dependent Feedback by Different Mechanisms that Determine Their Sensitivity to Pharmacologic Inhibition","Cancer Cell","","15356108","10.1016/j.ccell.2015.08.001","https://linkinghub.elsevier.com/retrieve/pii/S1535610815002925","ERK signaling requires RAS-induced RAF dimerization and is limited by feedback. Activated BRAF mutants evade feedback inhibition of RAS by either of two mechanisms. BRAF V600 mutants are activated monomers when RAS activity is low; all other activating BRAF mutants function as constitutive RAS-independent dimers. RAF inhibitors effectively inhibit mutant monomers, but not dimers; their binding to one site in the dimer signiﬁcantly reduces their afﬁnity for the second. Tumors with non-V600E BRAF mutants are insensitive to these drugs, and increased expression of BRAF V600E dimers causes acquired resistance. A compound that equally inhibits both sites of mutant RAF dimers inhibits tumors driven by either class of mutants or those BRAF V600E tumors with dimer-dependent acquired resistance to monomer-speciﬁc inhibitors.","2015-09","2021-08-17 21:05:29","2021-08-17 21:05:29","2021-08-17 21:05:29","370-383","","3","28","","Cancer Cell","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonahlibrach/Zotero/storage/NEMME5SL/Yao et al. - 2015 - BRAF Mutants Evade ERK-Dependent Feedback by Diffe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQHL2V72","journalArticle","2021","Chesnokov, Mikhail S.; Halasi, Marianna; Borhani, Soheila; Arbieva, Zarema; Shah, Binal N.; Oerlemans, Rick; Khan, Irum; Camacho, Carlos J.; Gartel, Andrei L.","Novel FOXM1 inhibitor identified via gene network analysis induces autophagic FOXM1 degradation to overcome chemoresistance of human cancer cells","Cell Death & Disease","","2041-4889","10.1038/s41419-021-03978-0","http://www.nature.com/articles/s41419-021-03978-0","FOXM1 transcription factor is an oncogene and a master regulator of chemoresistance in multiple cancers. Pharmacological inhibition of FOXM1 is a promising approach but has proven to be challenging. We performed a network-centric transcriptomic analysis to identify a novel compound STL427944 that selectively suppresses FOXM1 by inducing the relocalization of nuclear FOXM1 protein to the cytoplasm and promoting its subsequent degradation by autophagosomes. Human cancer cells treated with STL427944 exhibit increased sensitivity to cytotoxic effects of conventional chemotherapeutic treatments (platinum-based agents, 5-fluorouracil, and taxanes). RNA-seq analysis of STL427944-induced gene expression changes revealed prominent suppression of gene signatures characteristic for FOXM1 and its downstream targets but no significant changes in other important regulatory pathways, thereby suggesting high selectivity of STL427944 toward the FOXM1 pathway. Collectively, the novel autophagy-dependent mode of FOXM1 suppression by STL427944 validates a unique pathway to overcome tumor chemoresistance and improve the efficacy of treatment with conventional cancer drugs.","2021-07-14","2021-08-28 19:24:46","2021-08-28 19:24:46","2021-08-28 19:24:46","1-13","","7","12","","Cell Death Dis","","","","","","","","en","2021 The Author(s)","","","","www-nature-com.proxy.lib.uwaterloo.ca","","Bandiera_abtest: a Cc_license_type: cc_by Cg_type: Nature Research Journals Number: 7 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: Oncogenes;Target identification Subject_term_id: oncogenes;target-identification","","/Users/jonahlibrach/Zotero/storage/E67TSQBS/Chesnokov et al. - 2021 - Novel FOXM1 inhibitor identified via gene network .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3B9P5RN","journalArticle","2019","Ning, Jian-Fang; Stanciu, Monica; Humphrey, Melissa R.; Gorham, Joshua; Wakimoto, Hiroko; Nishihara, Reiko; Lees, Jacqueline; Zou, Lee; Martuza, Robert L.; Wakimoto, Hiroaki; Rabkin, Samuel D.","Myc targeted CDK18 promotes ATR and homologous recombination to mediate PARP inhibitor resistance in glioblastoma","Nature Communications","","2041-1723","10.1038/s41467-019-10993-5","http://www.nature.com/articles/s41467-019-10993-5","PARP inhibitors (PARPis) have clinical efficacy in BRCA-deficient cancers, but not BRCA-intact tumors, including glioblastoma (GBM). We show that MYC or MYCN amplification in patient-derived glioblastoma stem-like cells (GSCs) generates sensitivity to PARPi via Myc-mediated transcriptional repression of CDK18, while most tumors without amplification are not sensitive. In response to PARPi, CDK18 facilitates ATR activation by interacting with ATR and regulating ATR-Rad9/ATR-ETAA1 interactions; thereby promoting homologous recombination (HR) and PARPi resistance. CDK18 knockdown or ATR inhibition in GSCs suppressed HR and conferred PARPi sensitivity, with ATR inhibitors synergizing with PARPis or sensitizing GSCs. ATR inhibitor VE822 combined with PARPi extended survival of mice bearing GSC-derived orthotopic tumors, irrespective of PARPi-sensitivity. These studies identify a role of CDK18 in ATR-regulated HR. We propose that combined blockade of ATR and PARP is an effective strategy for GBM, even for low-Myc GSCs that do not respond to PARPi alone, and potentially other PARPi-refractory tumors.","2019-07-02","2021-08-28 19:27:48","2021-08-28 19:27:48","2021-08-28 19:27:48","2910","","1","10","","Nat Commun","","","","","","","","en","2019 The Author(s)","","","","www-nature-com.proxy.lib.uwaterloo.ca","","Bandiera_abtest: a Cc_license_type: cc_by Cg_type: Nature Research Journals Number: 1 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: CNS cancer;Double-strand DNA breaks;Homologous recombination;Targeted therapies Subject_term_id: cns-cancer;double-strand-dna-breaks;homologous-recombination;targeted-therapies","","/Users/jonahlibrach/Zotero/storage/NVHIRE96/Ning et al. - 2019 - Myc targeted CDK18 promotes ATR and homologous rec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62T8MBZN","journalArticle","2007","Rodina, Anna; Vilenchik, Maria; Moulick, Kamalika; Aguirre, Julia; Kim, Joungnam; Chiang, Anne; Litz, Julie; Clement, Cristina C.; Kang, Yanlong; She, Yuhong; Wu, Nian; Felts, Sara; Wipf, Peter; Massague, Joan; Jiang, Xuejun; Brodsky, Jeffrey L.; Krystal, Geoffrey W.; Chiosis, Gabriela","Selective compounds define Hsp90 as a major inhibitor of apoptosis in small-cell lung cancer","Nature Chemical Biology","","1552-4469","10.1038/nchembio.2007.10","http://www.nature.com/articles/nchembio.2007.10","The heat shock protein 90 (Hsp90) has a critical role in malignant transformation. Whereas its ability to maintain the functional conformations of mutant and aberrant oncoproteins is established, a transformation-specific regulation of the antiapoptotic phenotype by Hsp90 is poorly understood. By using selective compounds, we have discovered that small-cell lung carcinoma is a distinctive cellular system in which apoptosis is mainly regulated by Hsp90. Unlike the well-characterized antiapoptotic chaperone Hsp70, Hsp90 is not a general inhibitor of apoptosis, but it assumes this role in systems such as small-cell lung carcinoma, in which apoptosis is uniquely dependent on and effected through the intrinsic pathway, without involvement of caspase elements upstream of mitochondria or alternate pathways that are not apoptosome-channeled. These results provide important evidence for a transformation-specific interplay between chaperones in regulating apoptosis in malignant cells.","2007-08","2021-08-28 19:28:14","2021-08-28 19:28:14","2021-08-28 19:28:14","498-507","","8","3","","Nat Chem Biol","","","","","","","","en","","","","","www-nature-com.proxy.lib.uwaterloo.ca","","Bandiera_abtest: a Cg_type: Nature Research Journals Number: 8 Primary_atype: Research Publisher: Nature Publishing Group","","/Users/jonahlibrach/Zotero/storage/UYIQWKIE/Rodina et al. - 2007 - Selective compounds define Hsp90 as a major inhibi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IAAD3QG","journalArticle","2017","Jacobsen, Kirstine; Bertran-Alamillo, Jordi; Molina, Miguel Angel; Teixidó, Cristina; Karachaliou, Niki; Pedersen, Martin Haar; Castellví, Josep; Garzón, Mónica; Codony-Servat, Carles; Codony-Servat, Jordi; Giménez-Capitán, Ana; Drozdowskyj, Ana; Viteri, Santiago; Larsen, Martin R.; Lassen, Ulrik; Felip, Enriqueta; Bivona, Trever G.; Ditzel, Henrik J.; Rosell, Rafael","Convergent Akt activation drives acquired EGFR inhibitor resistance in lung cancer","Nature Communications","","2041-1723","10.1038/s41467-017-00450-6","http://www.nature.com/articles/s41467-017-00450-6","Non-small-cell lung cancer patients with activating epidermal growth factor receptor (EGFR) mutations typically benefit from EGFR tyrosine kinase inhibitor treatment. However, virtually all patients succumb to acquired EGFR tyrosine kinase inhibitor resistance that occurs via diverse mechanisms. The diversity and unpredictability of EGFR tyrosine kinase inhibitor resistance mechanisms presents a challenge for developing new treatments to overcome EGFR tyrosine kinase inhibitor resistance. Here, we show that Akt activation is a convergent feature of acquired EGFR tyrosine kinase inhibitor resistance, across a spectrum of diverse, established upstream resistance mechanisms. Combined treatment with an EGFR tyrosine kinase inhibitor and Akt inhibitor causes apoptosis and synergistic growth inhibition in multiple EGFR tyrosine kinase inhibitor-resistant non-small-cell lung cancer models. Moreover, phospho-Akt levels are increased in most clinical specimens obtained from EGFR-mutant non-small-cell lung cancer patients with acquired EGFR tyrosine kinase inhibitor resistance. Our findings provide a rationale for clinical trials testing Akt and EGFR inhibitor co-treatment in patients with elevated phospho-Akt levels to therapeutically combat the heterogeneity of EGFR tyrosine kinase inhibitor resistance mechanisms.","2017-09-04","2021-08-28 19:28:40","2021-08-28 19:28:40","2021-08-28 19:28:40","410","","1","8","","Nat Commun","","","","","","","","en","2017 The Author(s)","","","","www-nature-com.proxy.lib.uwaterloo.ca","","Bandiera_abtest: a Cc_license_type: cc_by Cg_type: Nature Research Journals Number: 1 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: Cancer therapeutic resistance;Non-small-cell lung cancer Subject_term_id: cancer-therapeutic-resistance;non-small-cell-lung-cancer","","/Users/jonahlibrach/Zotero/storage/LRHWTN4A/Jacobsen et al. - 2017 - Convergent Akt activation drives acquired EGFR inh.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2QK274TD","journalArticle","2021","Yen, Ivana; Shanahan, Frances; Lee, Jeeyun; Hong, Yong Sang; Shin, Sang Joon; Moore, Amanda R.; Sudhamsu, Jawahar; Chang, Matthew T.; Bae, Inhwan; Dela Cruz, Darlene; Hunsaker, Thomas; Klijn, Christiaan; Liau, Nicholas P. D.; Lin, Eva; Martin, Scott E.; Modrusan, Zora; Piskol, Robert; Segal, Ehud; Venkatanarayan, Avinashnarayan; Ye, Xin; Yin, Jianping; Zhang, Liangxuan; Kim, Jin-Soo; Lim, Hyeong-Seok; Kim, Kyu-Pyo; Kim, Yu Jung; Han, Hye Sook; Lee, Soo Jung; Kim, Seung Tae; Jung, Minkyu; Hong, Yoon-hee; Noh, Young Su; Choi, Munjeong; Han, Oakpil; Nowicka, Malgorzata; Srinivasan, Shrividhya; Yan, Yibing; Kim, Tae Won; Malek, Shiva","ARAF mutations confer resistance to the RAF inhibitor belvarafenib in melanoma","Nature","","1476-4687","10.1038/s41586-021-03515-1","http://www.nature.com/articles/s41586-021-03515-1","Although RAF monomer inhibitors (type I.5, BRAF(V600)) are clinically approved for the treatment of BRAFV600-mutant melanoma, they are ineffective in non-BRAFV600 mutant cells1–3. Belvarafenib is a potent and selective RAF dimer (type II) inhibitor that exhibits clinical activity in patients with BRAFV600E- and NRAS-mutant melanomas. Here we report the first-in-human phase I study investigating the maximum tolerated dose, and assessing the safety and preliminary efficacy of belvarafenib in BRAFV600E- and RAS-mutated advanced solid tumours (NCT02405065, NCT03118817). By generating belvarafenib-resistant NRAS-mutant melanoma cells and analysing circulating tumour DNA from patients treated with belvarafenib, we identified new recurrent mutations in ARAF within the kinase domain. ARAF mutants conferred resistance to belvarafenib in both a dimer- and a kinase activity-dependent manner. Belvarafenib induced ARAF mutant dimers, and dimers containing mutant ARAF were active in the presence of inhibitor. ARAF mutations may serve as a general resistance mechanism for RAF dimer inhibitors as the mutants exhibit reduced sensitivity to a panel of type II RAF inhibitors. The combination of RAF plus MEK inhibition may be used to delay ARAF-driven resistance and suggests a rational combination for clinical use. Together, our findings reveal specific and compensatory functions for the ARAF isoform and implicate ARAF mutations as a driver of resistance to RAF dimer inhibitors.","2021-06","2021-08-28 19:29:09","2021-09-07 20:41:01","2021-08-28 19:29:09","418-423","","7863","594","","","","","","","","","","en","2021 The Author(s), under exclusive licence to Springer Nature Limited","","","","www-nature-com.proxy.lib.uwaterloo.ca","","Bandiera_abtest: a Cg_type: Nature Research Journals Number: 7863 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: Drug discovery;Melanoma Subject_term_id: drug-discovery;melanoma","","/Users/jonahlibrach/Zotero/storage/ANFIRTBB/Yen et al. - 2021 - ARAF mutations confer resistance to the RAF inhibi.pdf","","_company","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
